Original_dataset_name,Mapped_Filename
64189b317c7dc3feb341f97a_6279_6279_pancreatic_lymph_node_CD4+CD127+_Tconv,pancreatic_lymph_node_0.tsv
64189b457c7dc3feb341f9ba_6254_6254_pancreatic_lymph_node_CD4+CD127+_Tconv,pancreatic_lymph_node_1.tsv
64189b4a7c7dc3feb341f9cc_6271_6271_pancreatic_lymph_node_CD4+CD127+_Tconv,pancreatic_lymph_node_2.tsv
64189b357c7dc3feb341f988_6278_6278_spleen_CD4+CD127+_Tconv,spleen_0.tsv
64189b2e7c7dc3feb341f972_6289_6289_spleen_CD4+CD127+_Tconv,spleen_1.tsv
64189b407c7dc3feb341f9aa_6279_6279_spleen_CD4+CD127+_Tconv,spleen_2.tsv
64189b4f7c7dc3feb341f9db_6288_6288_spleen_CD4+CD127+_Tconv,spleen_3.tsv
6623f3e2229fedfad25d829e_CerosalettiLab0168_wb93354616,naive_cd4_0.tsv
6623f3ec229fedfad25d82bc_CerosalettiLab0246_wb36503716,naive_cd4_1.tsv
6623f3e6229fedfad25d82a8_CerosalettiLab0207_wb32419318,naive_cd4_2.tsv
6623f3e8229fedfad25d82b0_CerosalettiLab0030_wb16703410,naive_cd4_3.tsv
6623f3ea229fedfad25d82b4_CerosalettiLab0245_wb38769032,naive_cd4_4.tsv
6623f3e2229fedfad25d829d_CerosalettiLab0168_wb93354616,memory_cd4_0.tsv
6623f3ee229fedfad25d82c0_CerosalettiLab0246_wb98202936,memory_cd4_1.tsv
6623f3e8229fedfad25d82af_CerosalettiLab0030_wb16703410,memory_cd4_2.tsv
6623f3f2229fedfad25d82cc_CerosalettiLab0088_wb72887488,memory_cd4_3.tsv
6623f3ef229fedfad25d82c3_CerosalettiLab0247_wb88715424,memory_cd4_4.tsv
