repertoire_id,study_id,has_umi
2892713941286916586-242ac113-0001-012,PRJNA406949,False
5edd81707dd6ee5ee410770c,PRJNA633317,False
5489266099605728790-242ac113-0001-012,PRJNA248475,False
658199137584746986-242ac113-0001-012,PRJNA349143,False
6047f706136a6d924982946b,IR-Efimov-000002,False
5eea989ac4c2bc3e5e42bd8b,PRJNA638224,False
5f07aa8a39579433171763bc,IR-Efimov-000001,False
5f21e814e1adeb2edc12613c,PRJNA648677,False
9210935052130062826-242ac113-0001-012,PRJNA283640,False
3272424234561376746-242ac113-0001-012,PRJNA300878,False
615623b16d7bc19b84b9ae45,PRJNA741267,False
6083725449204404716-242ac114-0001-012,PRJNA549712,True
2423783360899509780-242ac117-0001-012,BIOPROJECT:PRJNA6395‥,True
60f1d9f3441a4b2534fa8e2e,PRJNA731610,False
7341861007509614100-242ac117-0001-012,PRJNA680539,True
